ID,Name,Concepticon_ID,Concepticon_Gloss,Proto_ID,Original_Concept
huevo,*huevo,744,EGG,199,huevo
plantadeplatano,*planta de plátano,1795,BANANA TREE,200,planta de plátano
fruta,*fruta,1507,FRUIT,200,fruta
chaquilloarbol,*chaquillo (árbol),,,200,chaquillo (árbol)
mani,*maní,2364,PEANUT,200,maní
zumaquiarbol,*zumaqui (árbol),,,200,zumaqui (árbol)
costillodecasa,*costillo de casa,,,201,costillo de casa
rollup,*roll up,,,202,roll up
techo,*techo,769,ROOF,203,techo
nadamas,*nada más,,,204,nada más
descansar,*descansar,168,REST,205,descansar
comida,*comida,256,FOOD,206,comida
pozo,*pozo,954,WELL,207,pozo
paraba,*paraba,,,208,paraba
agentnominalizersuffix,*agent nominalizer suffix,,,209,agent nominalizer suffix
creer,*creer,1890,BELIEVE,210,creer
hoydiaahora,"*hoy día,ahora",,,211,"hoy día,ahora"
sacarcomprar,"*sacar,comprar",,,213,"sacar,comprar"
zapayojoco,"*zapayo,joco",,,214,"zapayo,joco"
haz,*haz,,,215,haz
pastparticiple,*past participle,,,217,past participle
monte,*monte,1683,BUSH,218,monte
pachiubapalmera,*pachiuba (palmera),,,219,pachiuba (palmera)
tio,*tío,1327,UNCLE,220,tío
campanillowildturkey,*campanillo (wild turkey),,,221,campanillo (wild turkey)
pueblo,*pueblo,930,VILLAGE,222,pueblo
bejuco,*bejuco,,,223,bejuco
loro,*loro,882,PARROT,224,loro
tigrecillo,*tigrecillo,,,225,tigrecillo
canoso,*canoso,,,226,canoso
ir,*ir,695,GO,227,ir
madre,*madre,1216,MOTHER,228,madre
hot,*hot,1286,HOT,229,hot
caliente,*caliente,1286,HOT,229,caliente
claro,*claro,989,CLEAR,229,claro
freir,*freir,991,FRY,229,freir
lena,*leña,10,FIREWOOD,229,leña
asar,*asar,1962,ROAST (SOMETHING),229,asar
canoa,*canoa,1970,CANOE,231,canoa
boca,*boca,674,MOUTH,232,boca
picaflor,*picaflor,1589,HUMMINGBIRD,233,picaflor
pluralsuffixnounandpronoun,"*plural suffix, noun and pronoun",,,234,"plural suffix, noun and pronoun"
jefejuez,"*jefe,juez",,,235,"jefe,juez"
chocolate,*chocolate,3873,CHOCOLATE,236,chocolate
yuca,*yuca,925,CASSAVA,237,yuca
asomar,*asomar,,,238,asomar
afilado,*afilado,1396,SHARP,239,afilado
delgado,*delgado,1400,THIN (SLIM),239,delgado
imperativesuffix,*imperative suffix,,,240,imperative suffix
possessiveaffix,*possessive affix,,,241,possessive affix
nutria,*nutria,15,OTTER,242,nutria
barba,*barba,678,BEARD,243,berba
avisar,*avisar,9,ANNOUNCE,243,avisar
barranco,*barranco,1930,RAVINE,243,barranco
primero,*primero,728,FIRST,244,primero
tumbar,*tumbar,,,245,tumbar
rio,*río,666,RIVER,246,río
pintado,*pintado,,,247,pintado
quiabo,*quiabó,,,249,quiabó
espinas,*espinas,3799,FISHBONE,250,espinas
pene,*pene,1222,PENIS,251,pene
cuidar,*cuidar,,,252,cuidar
salirllegar,"*salir,llegar",1107,GO OUT,253,salir
cuerpo,*cuerpo,1480,BODY,254,cuerpo
vientre,*vientre,1251,BELLY,256,vientre
negativeprivativesuffix,*negative/privative suffix,,,257,negative/privative suffix
achiote,*achiote,349,ACHIOTE,258,achiote
castigar,*castigar,3649,PUNISH,259,castigar
jochicolorado,*jochi colorado,,,260,jochi colorado
